source_id,role,title,url,lesson_assignment,decision,useful_scope,learner_action_after,internal_fallback
SRC01,OFFICIAL_REFERENCE,Python 3.14.7 Tutorial - Modules,https://docs.python.org/3/tutorial/modules.html,B02-L01;B02-L02,current authority,Module/script entry-point and import model,"After reading, split one notebook workflow into main()+named functions.",Book contains complete local example.
SRC02,OFFICIAL_REFERENCE,Python 3.14.7 pathlib,https://docs.python.org/3/library/pathlib.html,B02-L01;B02-L03;B02-L09,current authority,"Path objects, globbing and filesystem-safe paths",Replace one hard-coded filename list with sorted Path discovery.,Book includes Path/glob example.
SRC03,OFFICIAL_REFERENCE,pandas 3.0.5 User Guide,https://pandas.pydata.org/docs/user_guide/,B02-L04;B02-L05,baseline preserved + version refreshed,Current pandas concepts and I/O context,Re-run the mapped practice using explicit dtypes/validation.,Book/practice uses local fixtures.
SRC04,OFFICIAL_REFERENCE,pandas 3.0.5 merge,https://pandas.pydata.org/docs/reference/api/pandas.merge.html,B02-L04,baseline preserved + version refreshed,Merge contract including validate= and null-key warning,Prove duplicate customer key blocks many-to-one merge before publish.,Book includes merge contract and duplicate-key fixture.
SRC05,OFFICIAL_REFERENCE,pandas 3.0.5 IO tools,https://pandas.pydata.org/docs/user_guide/io.html,B02-L05,current authority,CSV/JSON/Excel read-write interfaces,"Load one CSV, one JSON and re-read one Excel output with explicit checks.",Book and supplied files cover all interfaces.
SRC06,OFFICIAL_REFERENCE,Python 3.14.7 csv,https://docs.python.org/3/library/csv.html,B02-L05,baseline preserved + version refreshed,"CSV is a format contract, not just a dataframe shortcut",State delimiter/header/type assumptions before reading a changed file.,Book shows tabular parsing contract.
SRC07,OFFICIAL_REFERENCE,Python 3.14.7 json,https://docs.python.org/3/library/json.html,B02-L05;B02-L06,baseline preserved + version refreshed,JSON object/array semantics and parsing,Declare output grain before flattening nested_orders.json.,Book includes local nested JSON example.
SRC08,OFFICIAL_REFERENCE,Requests 2.34.2 Quickstart,https://requests.readthedocs.io/en/latest/user/quickstart/,B02-L06,current authority,"Basic GET, response object, JSON and failure checking","Use local fixture first, then write a GET wrapper with timeout/status check.",Offline JSON fixture is sufficient for mastery.
SRC09,OFFICIAL_REFERENCE,Python 3.14.7 Errors and Exceptions,https://docs.python.org/3/tutorial/errors.html,B02-L07,current authority,"Specific exceptions, raising and contextual failure",Inject missing-column/bad-numeric case and prove publish is blocked.,Book and failure_cases folder are complete.
SRC10,OFFICIAL_REFERENCE,Python 3.14.7 Logging HOWTO,https://docs.python.org/3/howto/logging.html,B02-L08,baseline logging source strengthened,Log levels and run-event evidence,Replace print-only status with INFO/WARNING/ERROR plus saved validation results.,Book gives logging pattern and evidence schema.
VID01,VIDEO_OPTIONAL_BACKUP,Real Python - Introduction to File Paths and Python pathlib,https://www.youtube.com/watch?v=P5rlLlztkNs,B02-L03,baseline-added visual preserved in audit; not primary because exact free-video segment could not be independently reverified,Full short orientation only; no fabricated timestamp. Official pathlib + book control the lesson.,"If watched, immediately reproduce sorted Path.glob() on the supplied monthly files.",Skip video; book + pathlib docs fully teach it.
VID02,VIDEO_OPTIONAL,Corey Schafer - pandas Reading/Writing Data Sources,https://www.youtube.com/watch?v=N6hyN6BW6ao,B02-L05,baseline-added visual retained,0:56-3:20 CSV; 6:15-12:18 Excel; 12:18-16:59 JSON,"After each relevant segment, reproduce the same interface on supplied local fixtures and reconcile rows/totals.",Skip video; pandas IO docs + local practice.
VID03,VIDEO_OPTIONAL_BACKUP,Corey Schafer - Python Requests Tutorial,https://www.youtube.com/watch?v=tb8gHvYlCFs,B02-L06,baseline-added visual preserved as backup; replaced as active B02-L06 visual by focused timestamp-verifiable Real Python segment,Backup only; exact chapter timestamps were not reliably published in the baseline audit.,Use only if the Real Python visual is unavailable; then run the same local-fixture task.,Skip video; Requests Quickstart + offline fixture.
VID04,VIDEO_OPTIONAL,Corey Schafer - Logging Basics,https://www.youtube.com/watch?v=-ARI4Cz-awo,B02-L08,baseline-added visual retained,"Full 14:25; focus on replacing print, levels, file logging and format","After watching, create one run.log with INFO success and ERROR failure evidence.",Skip video; Python Logging HOWTO + book.
VID06,VIDEO_RECOMMENDED,Real Python - Consuming APIs: GET and POST,https://realpython.com/videos/consuming-apis-get-post/,B02-L06,added as active focused visual after current web verification 2026-09-10; exact transcript timestamps available,"01:50-03:02 - requests.get(), Response, .json(), status_code/headers; stop before POST","Immediately validate Practice_Data/api_response.json, then if local HTTP is available GET the same file with timeout + raise_for_status(); prove exactly four metrics and no publish on retrieval failure.",Skip video; Requests Quickstart + offline/local fixture fully teach the lesson.
HIST01,HISTORICAL_REMOVED_FROM_ACTIVE_ROUTE,Corey Schafer - VENV on Windows,https://www.youtube.com/watch?v=APOPm01BVrk,C3-00,"removed from B02 active route, preserved in audit history",Reason: venv/dependency environment mastery belongs to C3-00,Do not study for B02; C3 will teach environment reproducibility from zero.,N/A
VID05,VIDEO_OPTIONAL,Corey Schafer - Using Try/Except Blocks for Error Handling,https://www.youtube.com/watch?v=NIWwJbo-9_8,B02-L07,added optional visual; current Python docs remain authority,00:00-03:00 for exception motivation and specific-vs-general handling; stop before broader syntax if already clear,Run the bad-numeric and missing-column fixtures; classify failures and prove publish is withheld.,Skip video; Python Errors docs + book failure lab fully teach it.
