lesson_id,source_role,provider,title,url,segment,verification_status,why_watch_or_use,learner_action_after_source,internal_fallback,preservation_note
B01-L01,RECOMMENDED_VIDEO,Alex The Analyst,Learn SQL Beginner to Advanced in Under 4 Hours,https://www.youtube.com/watch?v=OT1RErkfLNQ,51:10-1:08:03,VERIFIED_LIVE_2026-09-10,"Refresh joins visually, but focus on how one-to-many joins change row grain.","After watching, predict row counts for orders->items and orders->promotions before running SQL.",New B01 book + local PostgreSQL lab teach the full grain/cardinality contract.,Preserves old B01-L01 video; downgraded from primary because C1 already taught joins.
B01-L01,OFFICIAL_REFERENCE,PostgreSQL Global Development Group,PostgreSQL 18 - Table Expressions / Joins,https://www.postgresql.org/docs/current/queries-table-expressions.html,7.2 / joined tables,VERIFIED_CURRENT_18_2026-09-10,Use as dialect authority for PostgreSQL join semantics.,Use only to confirm syntax/semantics after attempting the local lab.,New B01 book contains the required explanation and examples.,Current official authority.
B01-L02,RECOMMENDED_VIDEO,Alex The Analyst,Learn SQL Beginner to Advanced in Under 4 Hours,https://www.youtube.com/watch?v=OT1RErkfLNQ,1:35:16-1:45:57; 1:58:55-2:09:06,VERIFIED_LIVE_2026-09-10,"Refresh subqueries and CTEs, then reinterpret them as inspectable transformation stages.",Rewrite one nested query as named stages and validate each stage separately.,New B01 book + local PostgreSQL practice cover both patterns.,Merges preserved old B01-L02/L03 visual concepts.
B01-L02,OFFICIAL_REFERENCE,PostgreSQL Global Development Group,PostgreSQL 18 - WITH Queries,https://www.postgresql.org/docs/current/queries-with.html,7.8,VERIFIED_CURRENT_18_2026-09-10,Dialect authority for CTE behavior and materialization concepts.,Check the meaning of WITH only after the guided example; do not copy docs examples as practice answers.,New B01 book explains the required subset.,Current official authority.
B01-L03,RECOMMENDED_VIDEO,Alex The Analyst,Learn SQL Beginner to Advanced in Under 4 Hours,https://www.youtube.com/watch?v=OT1RErkfLNQ,1:45:58-1:58:54,VERIFIED_LIVE_2026-09-10,"Refresh windows visually; focus on PARTITION BY, ORDER BY, ranking and row-preserving calculations.",Build one ranking query and one LAG query on changed local data; state tie and missing-period behavior.,"New B01 book + local lab teach deterministic ordering, frames and LAG/LEAD.",Preserves old B01-L04/L06 video; combines old L04-L06.
B01-L03,OFFICIAL_REFERENCE,PostgreSQL Global Development Group,PostgreSQL 18 - Window Functions Tutorial,https://www.postgresql.org/docs/current/tutorial-window.html,3.5,VERIFIED_CURRENT_18_2026-09-10,PostgreSQL-specific authority for window behavior.,Compare GROUP BY collapse vs window row preservation in the local lab.,New B01 book teaches the same concept with Bridge data.,Current official authority.
B01-L04,OPTIONAL_VIDEO,Alex The Analyst,Learn SQL Beginner to Advanced in Under 4 Hours,https://www.youtube.com/watch?v=OT1RErkfLNQ,1:26:39-1:35:15,VERIFIED_LIVE_2026-09-10,Quick visual refresher for CASE before using it inside explicit KPI/business rules.,Write the numerator and denominator in English before coding one conditional aggregate.,New B01 book + PostgreSQL references teach CASE and time boundaries.,Preserves old B01-L07 video; date/time remains book/reference-led.
B01-L04,OFFICIAL_REFERENCE,PostgreSQL Global Development Group,PostgreSQL 18 - Conditional Expressions,https://www.postgresql.org/docs/current/functions-conditional.html,9.18 CASE/COALESCE/NULLIF,VERIFIED_CURRENT_18_2026-09-10,Dialect authority for conditional expressions.,Confirm syntax after writing the business rule in words.,New B01 book teaches the required subset.,Current official authority.
B01-L04,OFFICIAL_REFERENCE,PostgreSQL Global Development Group,PostgreSQL 18 - Date/Time Functions and Operators,https://www.postgresql.org/docs/current/functions-datetime.html,9.9; especially date_trunc and timestamp comparison,VERIFIED_CURRENT_18_2026-09-10,Dialect authority for date/time operations and boundary semantics.,Run the half-open interval check and save min/max/count evidence.,New B01 book teaches half-open windows and monthly grain.,Current official authority.
B01-L05,OPTIONAL_VIDEO,Alex The Analyst,Learn SQL Beginner to Advanced in Under 4 Hours,https://www.youtube.com/watch?v=OT1RErkfLNQ,2:42:46-3:32:13,VERIFIED_LIVE_2026-09-10,Observe a broader cleaning workflow; use only as visual context for investigating bad data.,Do not copy its cleaning decisions. Run the Bridge defect queries and classify BLOCK vs WARN yourself.,New B01 book + synthetic quality lab are authoritative.,Preserves old B01-L12 project visual in a more semantically appropriate optional role.
