lesson_id,lesson_title,teaching_start_page,teaching_end_page,practice_id,teaching_file,practice_file,protected_review_file,protected_review_page
B02-L01,From notebook task to reusable script contract,3,4,P-B02-L01,B02_PYTHON_PIPELINE_TRANSITION_LEARNER_BOOK_RC1.pdf,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_RC1.ipynb,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,2
B02-L02,"Functions, modules and decomposition for repeatable work",5,6,P-B02-L02,B02_PYTHON_PIPELINE_TRANSITION_LEARNER_BOOK_RC1.pdf,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_RC1.ipynb,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,3
B02-L03,Deterministic file discovery and multi-file batches,7,8,P-B02-L03,B02_PYTHON_PIPELINE_TRANSITION_LEARNER_BOOK_RC1.pdf,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_RC1.ipynb,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,4
B02-L04,pandas merge and validation contracts for pipelines,9,10,P-B02-L04,B02_PYTHON_PIPELINE_TRANSITION_LEARNER_BOOK_RC1.pdf,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_RC1.ipynb,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,5
B02-L05,"CSV, JSON and Excel interfaces with explicit parsing rules",11,12,P-B02-L05,B02_PYTHON_PIPELINE_TRANSITION_LEARNER_BOOK_RC1.pdf,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_RC1.ipynb,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,6
B02-L06,HTTP API basics for data acquisition,13,14,P-B02-L06,B02_PYTHON_PIPELINE_TRANSITION_LEARNER_BOOK_RC1.pdf,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_RC1.ipynb,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,7
B02-L07,"Error handling, failure classification and containment",15,16,P-B02-L07,B02_PYTHON_PIPELINE_TRANSITION_LEARNER_BOOK_RC1.pdf,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_RC1.ipynb,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,8
B02-L08,"Logging, run evidence and validation gates",17,18,P-B02-L08,B02_PYTHON_PIPELINE_TRANSITION_LEARNER_BOOK_RC1.pdf,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_RC1.ipynb,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,9
B02-L09,Recurring batch execution and safe rerun reasoning,19,20,P-B02-L09,B02_PYTHON_PIPELINE_TRANSITION_LEARNER_BOOK_RC1.pdf,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_RC1.ipynb,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,10
B02-L10,Build and defend a small reproducible batch pipeline,21,22,P-B02-L10,B02_PYTHON_PIPELINE_TRANSITION_LEARNER_BOOK_RC1.pdf,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_RC1.ipynb,B02_PYTHON_PIPELINE_TRANSITION_PRACTICE_REVIEW_PROTECTED_RC1.pdf,11
