lesson_id,kind,title,url,scope,after_watching_do,fallback,status
B04-L01,OFFICIAL_REFERENCE,What is Fabric Data Warehouse?,https://learn.microsoft.com/en-us/fabric/data-warehouse/data-warehousing,Operational vs analytical purpose and warehouse role,Read comparison; classify 4 workloads before practice,Book visual + practice sheet,REVALIDATED_2026-09-10
B04-L01,OPTIONAL_VISUAL,Alex The Analyst - Database vs Data Warehouse vs Data Lake,https://www.youtube.com/watch?v=-bSkREem8dM,00:00-05:22 (full concise comparison),Write one operational and one analytical workload from your own example,Book visual + Microsoft reference,REACHABLE_2026-09-10
B04-L02,OFFICIAL_REFERENCE,What is Fabric Data Warehouse?,https://learn.microsoft.com/en-us/fabric/data-warehouse/data-warehousing,Warehouse/lakehouse distinction in current Fabric,"Choose fit by workload, not vendor name",Book comparison matrix,REVALIDATED_2026-09-10
B04-L02,OPTIONAL_VISUAL,IBM Technology - Data Lake vs Data Warehouse vs Data Lakehouse,https://www.youtube.com/watch?v=PQFWQmL3fLY,Not learner-assigned in RC1; exact useful segment not independently verified,N/A - audit-history backup only,Book comparison matrix,BACKUP_NOT_ACTIVE_EXACT_SEGMENT_NOT_VERIFIED_2026-09-10
B04-L03,OFFICIAL_REFERENCE,Dimensional modeling in Fabric Data Warehouse,https://learn.microsoft.com/en-us/fabric/data-warehouse/dimensional-modeling-overview,Dimensional model context,State business key vs warehouse version key before practice,Book SCD worked example,REVALIDATED_2026-09-10
B04-L03,OFFICIAL_REFERENCE,Load tables in a dimensional model,https://learn.microsoft.com/en-us/fabric/data-warehouse/dimensional-modeling-load-tables,"Dimension/fact loading, staging, audit/error recording",Write Type 1 vs Type 2 decision for provider city change,Book worked example,REVALIDATED_2026-09-10
B04-L04,OFFICIAL_REFERENCE,Load tables in a dimensional model,https://learn.microsoft.com/en-us/fabric/data-warehouse/dimensional-modeling-load-tables,ETL/staging/load boundaries,Draw source -> landing/staging -> curated flow,Book ETL/ELT visual,REVALIDATED_2026-09-10
B04-L04,OPTIONAL_VISUAL,Kahan Data Solutions - ETL vs ELT | Modern Data Architectures,https://www.youtube.com/watch?v=_Nk0v9qUWk4,00:36-03:19 (ETL 00:36; ELT 01:38; choice/trade-off begins 03:19),Close the video; draw ETL and ELT as two 3-step arrows and state where raw data first becomes durable,Book ETL/ELT worked example + Microsoft load-tables guidance,REACHABLE_TIMESTAMP_VERIFIED_2026-09-10
B04-L05,OFFICIAL_REFERENCE,Understand medallion architecture for Fabric with OneLake,https://learn.microsoft.com/en-us/fabric/onelake/onelake-medallion-lakehouse-architecture,"Bronze/raw, silver/enriched, gold/curated layer contracts",Assign each Urban Mobility source/output to a layer and justify quality gate,Book layer map,REVALIDATED_2026-09-10
B04-L05,OPTIONAL_VISUAL,Microsoft Learn Together - Organize a Fabric lakehouse using medallion architecture,https://www.youtube.com/watch?v=gqTWFBzgAlg,10:09-30:32,"After watching, define allowed state + consumer + quality gate for Bronze/Silver/Gold",Book layer map + current Microsoft article,REACHABLE_CHAPTERS_2026-09-10
B04-L06,OFFICIAL_REFERENCE,Fabric data movement decision guide,https://learn.microsoft.com/en-us/fabric/data-factory/decision-guide-data-movement,Batch/continuous movement trade-offs,Classify four flows by SLA and replay risk,Book latency matrix,REVALIDATED_2026-09-10
B04-L07,OFFICIAL_REFERENCE,Lineage in Fabric,https://learn.microsoft.com/en-us/fabric/governance/lineage,Upstream/downstream impact reasoning,Draw one source -> transform -> curated -> consumer lineage chain,Book lineage example,REVALIDATED_2026-09-10
B04-L08,OFFICIAL_REFERENCE,Load tables in a dimensional model,https://learn.microsoft.com/en-us/fabric/data-warehouse/dimensional-modeling-load-tables,Auditing/errors/row-count controls during load,Write 6 quality checks with severity + owner + action,Book quality contract,REVALIDATED_2026-09-10
B04-L09,OFFICIAL_REFERENCE,Understand medallion architecture for Fabric with OneLake,https://learn.microsoft.com/en-us/fabric/onelake/onelake-medallion-lakehouse-architecture,Preserved raw source and layered recovery reasoning,Write a replay/backfill sequence that does not mutate raw evidence,Book recovery runbook,REVALIDATED_2026-09-10
